Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
3692;-3452;15500;-111;-258;-43;32,47;24,71
3748;-3468;15428;-31;-176;-72;32,29;24,71
3952;-3208;15196;36;-436;-120;32,17;24,27
4084;-3228;15380;-341;-190;-74;32,11;26,43
4304;-3132;15360;-580;-200;29;32,03;29,19
4228;-3176;15316;-529;297;-55;32,03;31,7
4012;-3244;15432;-671;308;12;32,03;33,67
4016;-3340;15268;-652;174;-4;32,03;35,77
3940;-3464;15248;-154;-118;-68;32,11;36,75
4036;-3300;15332;1168;-595;-290;32,17;34,21
4456;-2660;15344;1261;-768;-468;32,17;34,21
4764;-1764;15652;1080;-633;-479;32,07;31,25
5048;-1444;15256;825;-783;-263;32,03;31,25
5248;-1000;15164;787;-347;-322;31,99;31,89
5528;-632;15208;176;-504;-128;31,99;32,25
5792;-620;15364;-82;-88;-125;31,99;32,59
5816;-448;15108;-113;-240;-45;31,99;32,93
5756;-492;15356;-875;62;121;31,95;32,93
5776;-712;15432;-1358;201;249;31,95;33,33
5668;-892;15180;-780;309;-10;31,95;33,33
5468;-1236;15052;-1330;656;190;31,99;34,43
5188;-1576;15344;-1299;835;142;32,07;35,59
4836;-1836;15256;-1340;407;237;32,17;36,51
4532;-2324;15284;-1094;864;105;32,29;37,45
4304;-2564;15620;-1097;472;195;32,37;38,23
4140;-2684;15264;-588;256;11;32,37;38,93
3992;-2848;15476;-671;256;34;32,47;38,89
4004;-2832;15848;-1022;573;15;32,55;38,31
3884;-3048;15580;-706;478;-15;32,59;38,31
3716;-3092;15372;-202;268;-91;32,69;37,81
3716;-3092;15216;-451;43;-29;32,73;37,57
3700;-3068;15388;280;-471;-120;32,73;37,21
3996;-2672;15324;961;-794;-214;32,73;35,21
4156;-2460;15328;452;-823;-194;32,55;28,49
4416;-2208;15536;-9;-495;-43;32,55;25,95
4860;-2004;15116;529;-893;-238;32,33;27,81
5004;-1756;15228;284;-613;-93;32,25;30,5
5092;-1668;15240;98;-686;-35;32,17;30,5
5384;-1604;15364;111;-292;-148;32,11;31,55
5372;-1220;15224;-116;135;-126;32,07;32,7
5388;-1420;14980;-288;56;-40;32,07;32,67
5524;-1588;14780;68;84;-105;32,07;33,49
5152;-1560;15160;-1056;851;94;32,11;34,69
4888;-1848;15492;-1173;726;54;32,11;35,55
4592;-2028;15304;-970;710;72;32,21;36,59
4380;-2316;15508;-1441;312;291;32,29;37,15
4148;-2768;15344;-752;743;17;32,37;37,15
3960;-3028;15552;-897;378;55;32,47;37,25
3760;-2940;15416;-363;170;-55;32,59;37,33
3612;-3052;15488;-465;202;-59;32,65;37,21
3704;-3136;15120;0;16;-68;32,69;37,7
3748;-3104;15564;-347;38;-71;32,69;36,59
3596;-3120;15440;-571;-3;-5;32,69;35,77
3688;-3048;15312;-103;-508;14;32,73;34,13
3920;-2952;15212;123;-452;-64;32,69;29,83
4124;-2784;15260;447;-600;-127;32,55;29,83
4180;-2560;15512;-194;-165;-29;32,37;29,1
4404;-2400;15456;166;-235;-129;32,33;30,47
4632;-2368;15268;116;-446;-122;32,25;31,59
4768;-2292;15176;-8;-422;-49;32,25;32,51
4936;-1972;15172;-11;-389;-144;32,25;32,89
5048;-1988;15268;-187;-164;-64;32,25;33,11
5064;-1944;15120;-473;-87;-8;32,25;33,37
5000;-1760;15416;-828;647;-8;32,21;33,75
4788;-1864;15260;-821;466;85;32,25;33,75
4688;-2012;15224;-305;408;-121;32,29;34,77
4504;-2340;14956;-825;587;0;32,33;35,39
4360;-2356;15528;-1111;510;131;32,43;35,99
4156;-2660;15396;-351;635;-75;32,47;36,51
3992;-2724;15452;-611;559;-30;32,55;36,71
3724;-2780;15636;-510;421;-53;32,55;36,79
3732;-2892;15724;-803;492;-37;32,59;36,87
3720;-2980;15444;-773;203;6;32,65;36,91
3604;-2992;15440;-295;63;-62;32,69;36,91
3564;-2980;15500;-454;122;2;32,73;36,67
3712;-3036;15328;-284;-291;-23;32,73;36,11
3756;-2832;15380;128;-380;-117;32,73;34,81
4052;-2728;15428;82;-259;-75;32,59;31,11
4152;-2648;15296;458;-176;-180;32,51;30,37
4176;-2492;15208;203;-565;-113;32,51;31,19
4484;-2448;15232;249;-533;-168;32,43;31,85
4648;-2180;15156;666;-536;-198;32,43;32,41
4900;-2156;15456;26;-204;-113;32,37;32,41
4940;-1932;15348;-160;-134;-89;32,33;32,71
4940;-1920;15308;-320;-52;-46;32,33;33,23
5028;-2144;15540;-1076;220;145;32,33;33,67
4816;-2128;15224;-761;235;29;32,33;34,47
4664;-2224;15204;-570;742;-15;32,37;34,91
4468;-2436;15300;-859;513;45;32,37;35,77
4272;-2732;14824;-151;354;-64;32,43;36,25
4116;-2784;15320;-662;477;-8;32,51;36,47
3856;-2892;15644;-880;326;67;32,59;36,47
3760;-3072;15472;-813;324;31;32,65;36,59
3568;-2972;15580;-613;413;-32;32,73;36,75
3584;-3160;15544;-395;302;-79;32,77;36,87
3540;-3176;15328;-10;110;-121;32,81;36,87
3648;-3140;15208;-299;-189;-54;32,81;36,47
3612;-3188;15364;162;-422;-115;32,81;34,81
3972;-3072;15504;-72;-556;-1;32,81;31,59
4000;-2804;15544;142;-332;-171;32,73;30,93
4220;-2508;15416;318;-458;-198;32,59;31,77
4364;-2420;15484;-321;-380;-28;32,51;31,77
4636;-2488;15472;-870;-461;142;32,51;32,55
4776;-2380;15080;-86;-466;-87;32,47;33,45
4752;-2232;15264;81;-341;-149;32,51;34,5
5016;-2092;15240;-337;-189;-73;32,51;34,29
5012;-2192;15168;-571;-103;72;32,51;34,47
4960;-2132;15236;-375;39;-57;32,51;34,77
4820;-2244;15304;-815;447;66;32,51;35,55
4640;-2608;15200;-1134;662;153;32,51;36,17
4440;-2884;15060;-223;415;40;32,59;36,17
